2m,4m,6m,8m,10m
0.786683881,2.45032684,0.79201903,0.87357934,0.67071091
1.14652609,1.71382925,1.69935899,1.02826666,2.26194982
4.55795992,1.09806027,0.88923581,2.18075576,0.83815032
1.174594833,3.27642287,0.85390698,2.5279998,1.33043705
2.232765296,0.80905987,1.17378316,1.80005663,1.85627069
1.642153815,1.54636428,0.99142059,0.94227318,0.56036411
0.955697025,0.79155651,0.47998512,0.65701727,0.62421987
1.702390284,0.74693011,0.5533404,0.46945853,1.50909954
1.317792482,0.86270974,1.1351896,4.31487881,2.50234075
0.939175038,1.31586002,2.21765208,3.0187188,0.8242845
2.388083545,0.79498897,0.78745661,0.58226954,1.22476752
0.779498077,5.84543991,4.44789004,2.43676041,1.83974637
1.355509325,0.82859502,1.43376735,3.69039725,2.18119939
1.286348109,4.66069603,1.90529806,0.8988126,2.96544273
0.721563463,1.30946488,1.86134678,0.69504909,0.87746397
0.813281206,1.5180185,3.50073818,1.01167006,1.78237378
2.160977942,1.1901543,1.23064957,1.11695592,0.7789075
0.726561429,2.94701348,3.21858303,1.90850533,0.8722347
0.75734056,2.9318382,1.4458969,1.92219726,2.24474155
4.378622452,1.18817043,3.98506435,0.63282441,1.45183991
0.633681119,0.53382671,1.60045972,6.44900581,1.69445797
1.292027663,2.17202641,1.6589578,2.01025064,1.49462939
0.871131339,1.49932576,2.75705056,1.66766388,2.31113522
0.570741222,1.41128372,2.09728744,1.40701704,1.12543679
1.184309899,0.81964853,0.61189964,1.58929987,1.03556113
3.665870163,2.44551125,1.61798088,1.69005043,1.23357459
0.645627192,0.93216507,0.73909653,0.84219419,5.63305329
1.293719761,2.4106337,2.35249638,0.7329833,5.00028855
0.74419085,0.79508757,2.1624611,2.09160318,4.67698395
0.943087057,2.14481173,1.14435331,4.05251018,0.82274154
1.021769211,3.56565084,1.34797298,4.95760977,0.7195785
1.106118148,0.83905747,0.57371316,3.12637571,0.37874252
1.827266535,4.79491222,1.01469404,0.85009296,0.76653294
4.353730738,1.11824116,2.24331635,3.9007735,5.54942945
2.133618052,1.55846975,2.43937398,5.71825652,1.37349244
1.029699976,1.76559674,0.92593077,1.39940688,1.50524179
2.132769831,1.73552345,1.1451813,1.56585476,0.6857874
2.492630374,1.27476362,0.9762892,3.25636689,0.6391517
